category,configuration_variable,config_key,type,symbol,description,units,current_declaration_default,default_expression,formal_model_comparator,range,provenance_source,provenance_category,implementation_status,notes,source_file,source_line,reference_count
A1. General,cfg_OsmiaFemaleLifespan,OSMIA_LIFESPAN,CfgInt,L<sub>max</sub>,Upper limit on the adult female's internal age counter,internal age days,60,60,=,—,No empirical source stated,Assumed,Active,`m_EmergeAge` increments in `st_Develop` and during dispersal but not on provisioning days. The value is therefore not a 60-day calendar lifespan. It also sizes the age-related foraging-efficiency table and bounds the age index into the maternal-investment curves.,Osmia.cpp,130,1
A1. General,cfg_OsmiaStartNo,OSMIA_STARTNOS,CfgInt,N<sub>0</sub>,Starting number of cocooned adults,count of overwintering cocoons,50000,50000,=,—,No empirical source stated,Assumed,Active,—,Osmia_Population_Manager.cpp,104,2
A2. Development in the nest,cfg_OsmiaEggDevelTotalDD,OSMIA_EGGDEVELDD,CfgFloat,DD<sub>egg</sub>,Number of degree days (above the developmental threshold) needed for egg to hatch,degree day,104.435,104.435,37.0,—,Calibration provenance document (companion study),Calibrated,Active,Differs from the Formal Model value. Source annotation: medium sensitivity; not systematically tested. Only meaningful together with `cfg_OsmiaEggDevelThreshold`. The developmental total and threshold must be interpreted as a fitted pair.,Osmia.cpp,66,2
A2. Development in the nest,cfg_OsmiaEggDevelThreshold,OSMIA_EGGDEVELTHRESHOLD,CfgFloat,"T<sub>0,egg</sub>",Temperature developmental threshold for egg development,°C,0.518,0.518,13.8,—,Calibration provenance document (companion study),Calibrated,Active,Differs from the Formal Model value.,Osmia.cpp,68,2
A2. Development in the nest,cfg_OsmiaLarvaDevelTotalDD,OSMIA_LARVADEVELDD,CfgFloat,DD<sub>lar</sub>,Number of degree days (above the developmental threshold) needed for larva to develop into prepupa,degree day,305.235,305.235,422.4,—,Calibration provenance document (companion study),Calibrated,Active,Differs from the Formal Model value. Source annotation: medium sensitivity; not systematically tested.,Osmia.cpp,70,2
A2. Development in the nest,cfg_OsmiaLarvaDevelThreshold,OSMIA_LARVADEVELTHRESHOLD,CfgFloat,"T<sub>0,lar</sub>",Temperature developmental threshold for larva development,°C,8.834,8.834,8.5,—,Calibration provenance document (companion study),Calibrated,Active,Differs from the Formal Model value.,Osmia.cpp,72,2
A2. Development in the nest,cfg_OsmiaPrepupaDevelTotalDays,OSMIA_PREPUPADEVELDAYS,CfgFloat,D<sub>opt</sub>,Prepupal duration at the temperature where the normalised development rate equals 1,days,21.27,21.27,24.3,—,Calibration provenance document (companion study),Calibrated,Active,Differs from the Formal Model value. It is a duration rather than a developmental speed.,Osmia.cpp,97,6
A2. Development in the nest,cfg_OsmiaPrepupalRateA,OSMIA_PREPUPALRATE_A,CfgFloat,a<sub>q</sub>,Squared-term coefficient of the prepupal development rate quadratic,°C<sup>-2</sup>,0.0149431912,0.0149431912,=,—,"Derived from Ziółkowska et al. (2023), Fig. 3C",Literature,Active,—,Osmia_Population_Manager.cpp,94,4
A2. Development in the nest,cfg_OsmiaPrepupalRateB,OSMIA_PREPUPALRATE_B,CfgFloat,b<sub>q</sub>,Linear-term coefficient of the prepupal development rate quadratic,°C<sup>-1</sup>,-0.6679153638,-0.6679153638,=,—,"Derived from Ziółkowska et al. (2023), Fig. 3C",Literature,Active,—,Osmia_Population_Manager.cpp,96,2
A2. Development in the nest,cfg_OsmiaPrepupalRateC,OSMIA_PREPUPALRATE_C,CfgFloat,c<sub>q</sub>,Constant term of the prepupal development rate quadratic,dimensionless,8.4616334666,8.4616334666,=,—,"Derived from Ziółkowska et al. (2023), Fig. 3C",Literature,Active,"Only the ratios a:b:c are identified, since the function is normalised at the optimum; changing one coefficient alone rescales the whole curve.",Osmia_Population_Manager.cpp,98,2
A2. Development in the nest,cfg_OsmiaPrepupalRateTOpt,OSMIA_PREPUPALRATE_TOPT,CfgFloat,T<sub>opt</sub>,Temperature at which the prepupal rate function is normalised to 1.0,°C,22.0,22.0,=,—,"Stated optimum, Ziółkowska et al. (2023)",Literature,Active,—,Osmia_Population_Manager.cpp,102,2
